algorithm,config,sample,true_label,true_label_name,inferred_label,inferred_label_name,label_correct,raw_update_norm,defended_update_norm,clipping_scale,noise_std,best_update_mse,best_update_psnr,best_oracle_mse,best_oracle_psnr,final_mse,final_psnr,elapsed_seconds,output_dir
FedSGD,fedsgd_none,0,,airplane,0,airplane,True,2.0310919284820557,2.0310919284820557,1.0,0.0,0.00025090519920922816,36.00490339225513,0.0002433402114547789,36.13786118895208,0.0003182153159286827,34.972789212851765,63.459901332855225,results/reconstructions/fedsgd_update_bs1_sample0_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_clipnoise_c7p5_n0p002,0,,airplane,0,airplane,True,2.0310919284820557,6.98678731918335,1.0,0.002,0.011378303170204163,19.439224988163886,0.010877181775867939,19.63483613620737,0.011747856624424458,19.300413624217317,63.60723304748535,results/reconstructions/fedsgd_update_defense_clipnoise_c7p5_n0p002_bs1_sample0_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_none,1,,frog,6,frog,True,2.1727294921875,2.1727294921875,1.0,0.0,0.021135268732905388,16.749922257873664,0.021041711792349815,16.769189322116773,0.02101779170334339,16.774129163493264,64.13166737556458,results/reconstructions/fedsgd_update_bs1_sample1_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_clipnoise_c7p5_n0p002,1,,frog,6,frog,True,2.1727294921875,7.027405261993408,1.0,0.002,0.0842236801981926,10.745657857743646,0.08417835086584091,10.747995867476636,0.08414467424154282,10.74973366565221,63.11105823516846,results/reconstructions/fedsgd_update_defense_clipnoise_c7p5_n0p002_bs1_sample1_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_none,2,,airplane,0,airplane,True,3.3283302783966064,3.3283302783966064,1.0,0.0,0.0011502575362101197,29.39204912661082,0.0010051121935248375,29.97785458333814,0.0017179687274619937,27.64984745984581,64.03621649742126,results/reconstructions/fedsgd_update_bs1_sample2_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_clipnoise_c7p5_n0p002,2,,airplane,0,airplane,True,3.3283302783966064,7.46837854385376,1.0,0.002,0.016320696100592613,17.87261321917997,0.015432710759341717,18.11557783306642,0.015863412991166115,17.9960336911378,64.8389961719513,results/reconstructions/fedsgd_update_defense_clipnoise_c7p5_n0p002_bs1_sample2_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_none,3,,bird,2,bird,True,3.7194831371307373,3.7194831371307373,1.0,0.0,0.0026809058617800474,25.717184357102404,0.0024027235340327024,26.192961977984606,0.002382805570960045,26.229113931986845,66.27727222442627,results/reconstructions/fedsgd_update_bs1_sample3_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_clipnoise_c7p5_n0p002,3,,bird,2,bird,True,3.7194831371307373,7.6505961418151855,1.0,0.002,0.027446290478110313,15.615163446110428,0.027428949251770973,15.61790829030478,0.02744060754776001,15.616062773778694,64.10818600654602,results/reconstructions/fedsgd_update_defense_clipnoise_c7p5_n0p002_bs1_sample3_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_none,4,,horse,7,horse,True,3.521061658859253,3.521061658859253,1.0,0.0,0.0009027114138007164,30.444510663257553,0.0007039509364403784,31.52457609005255,0.000718511815648526,31.435660856664818,64.19194006919861,results/reconstructions/fedsgd_update_bs1_sample4_iter2000_lr005_tv1e-6_cosine_seed42
FedSGD,fedsgd_clipnoise_c7p5_n0p002,4,,horse,7,horse,True,3.521061658859253,7.554816246032715,1.0,0.002,0.02562672086060047,15.913069616368977,0.02481594868004322,16.05269117660591,0.02480662800371647,16.054322659134407,63.828500509262085,results/reconstructions/fedsgd_update_defense_clipnoise_c7p5_n0p002_bs1_sample4_iter2000_lr005_tv1e-6_cosine_seed42
