local_steps,sample,true_label,batch_size,grad_scope,matching_loss,local_lr,weight_decay,iterations,final_psnr,best_update_psnr,best_oracle_psnr,best_update_loss,elapsed_seconds
1,0,airplane,1,all,cosine,0.02,0.0005,2000,34.3022562033437,36.0185631814141,36.65464390801697,0.004188656806945801,78.02880144119263
1,1,frog,1,all,cosine,0.02,0.0005,2000,17.557748988024578,17.448610985464992,17.552130878457906,0.016684293746948242,80.60309529304504
1,2,airplane,1,all,cosine,0.02,0.0005,2000,28.938519617780464,30.569750783657806,30.811972776674253,0.00433957576751709,78.09420919418335
1,3,bird,1,all,cosine,0.02,0.0005,2000,27.779140233683513,27.481091523431648,27.759156329500154,0.00490570068359375,79.38009929656982
1,4,horse,1,all,cosine,0.02,0.0005,2000,23.47738371425073,22.572999045186016,23.464248483396165,0.008922278881072998,78.62391829490662
2,0,airplane,1,all,cosine,0.02,0.0005,2000,35.01441482709893,35.953568923252995,36.16362575133031,0.0039018988609313965,150.20296955108643
2,1,frog,1,all,cosine,0.02,0.0005,2000,17.92582229366952,17.424374853595666,17.92044875143654,0.013875365257263184,139.23207473754883
2,2,airplane,1,all,cosine,0.02,0.0005,2000,28.455203226364393,28.438399147782082,29.335788614304864,0.005535781383514404,145.29373025894165
2,3,bird,1,all,cosine,0.02,0.0005,2000,28.92967190309472,28.934248962096405,28.979171186409552,0.004669070243835449,140.86597561836243
2,4,horse,1,all,cosine,0.02,0.0005,2000,30.09964241875985,28.755724880600223,30.085039276784112,0.004916012287139893,141.39100527763367
5,0,airplane,1,all,cosine,0.02,0.0005,2000,34.87861042460483,35.960108017263764,36.223827539251594,0.003926515579223633,333.2028317451477
5,1,frog,1,all,cosine,0.02,0.0005,2000,18.45777906249903,18.29687947490761,18.455084836287384,0.014120519161224365,356.9327800273895
5,2,airplane,1,all,cosine,0.02,0.0005,2000,27.270339817416115,29.21695079973705,29.317052770231665,0.005443871021270752,350.11373925209045
5,3,bird,1,all,cosine,0.02,0.0005,2000,29.752996214548787,29.432234015486568,29.729047471749617,0.0037957429885864258,361.5749294757843
5,4,horse,1,all,cosine,0.02,0.0005,2000,24.827986129907025,24.0838207664051,24.798487276198156,0.007693886756896973,364.57120966911316
10,0,airplane,1,all,cosine,0.02,0.0005,2000,33.42129244319785,35.27638039329191,35.802915488385054,0.004290938377380371,652.7868421077728
10,1,frog,1,all,cosine,0.02,0.0005,2000,19.1060664286722,18.997266659801927,19.119030835547935,0.012364387512207031,691.4227368831635
10,2,airplane,1,all,cosine,0.02,0.0005,2000,28.660848183458963,29.75298475137849,29.823118856196757,0.005152106285095215,702.1825108528137
10,3,bird,1,all,cosine,0.02,0.0005,2000,22.492935089603545,22.32875778343835,22.461880269091587,0.008728623390197754,636.0164659023285
10,4,horse,1,all,cosine,0.02,0.0005,2000,27.073619103306115,27.00030022509012,27.057277654928363,0.006154179573059082,631.658162355423
