sample,true_label,local_steps,final_psnr,best_update_psnr,best_oracle_psnr
0,airplane,1,34.3023,36.0186,36.6546
0,airplane,2,35.0144,35.9536,36.1636
0,airplane,5,34.8786,35.9601,36.2238
0,airplane,10,33.4213,35.2764,35.8029
1,frog,1,17.5577,17.4486,17.5521
1,frog,2,17.9258,17.4244,17.9204
1,frog,5,18.4578,18.2969,18.4551
1,frog,10,19.1061,18.9973,19.119
2,airplane,1,28.9385,30.5698,30.812
2,airplane,2,28.4552,28.4384,29.3358
2,airplane,5,27.2703,29.217,29.3171
2,airplane,10,28.6608,29.753,29.8231
3,bird,1,27.7791,27.4811,27.7592
3,bird,2,28.9297,28.9342,28.9792
3,bird,5,29.753,29.4322,29.729
3,bird,10,22.4929,22.3288,22.4619
4,horse,1,23.4774,22.573,23.4642
4,horse,2,30.0996,28.7557,30.085
4,horse,5,24.828,24.0838,24.7985
4,horse,10,27.0736,27.0003,27.0573
