config,sample,runs,true_label,mean_final_psnr,std_final_psnr,min_final_psnr,max_final_psnr,label_accuracy
none,0,5,airplane,32.9967,1.0528,32.165,34.767,5/5
none,1,5,frog,22.7212,3.1953,18.5636,25.9463,5/5
none,2,5,airplane,29.5329,2.2702,26.816,33.0228,5/5
none,3,5,bird,17.5107,4.3411,14.0556,24.8228,5/5
none,4,5,horse,26.2136,4.8481,18.3338,30.6531,5/5
noise_s0002,0,5,airplane,14.5054,0.378,14.0498,15.053,5/5
noise_s0002,1,5,frog,12.0482,0.9418,11.3283,13.6308,5/5
noise_s0002,2,5,airplane,12.3187,0.6242,11.8457,13.1418,5/5
noise_s0002,3,5,bird,11.4071,0.9211,10.5636,12.6542,5/5
noise_s0002,4,5,horse,12.1325,0.6895,11.4278,13.1366,5/5
clip_c05_noise_s0002,0,5,airplane,13.7131,0.4552,13.1501,14.2193,5/5
clip_c05_noise_s0002,1,5,frog,9.4699,0.4253,9.0896,10.18,5/5
clip_c05_noise_s0002,2,5,airplane,10.5279,0.4548,10.0446,11.1746,5/5
clip_c05_noise_s0002,3,5,bird,9.507,0.4282,8.958,9.9656,5/5
clip_c05_noise_s0002,4,5,horse,10.3902,0.3067,10.0527,10.8908,5/5
