batch_size,sample_start,sample_index,true_label,final_psnr,final_mse
1,0,0,airplane,35.14103262525736,0.00030612354748882353
1,8,8,deer,28.828643194661495,0.0013095909962430596
1,16,16,dog,30.38968168387015,0.0009141802438534796
1,24,24,automobile,19.204022465458713,0.0120115140452981
1,32,32,horse,22.375193956604832,0.005787361413240433
2,0,0,airplane,22.173845308244463,0.0060619935393333435
2,0,1,frog,11.805382429247748,0.06598751246929169
2,8,8,deer,16.44198162037827,0.02268829382956028
2,8,9,automobile,16.427673945859254,0.022763162851333618
2,16,16,dog,11.243259133355236,0.07510590553283691
2,16,17,dog,11.656094197615857,0.06829526275396347
2,24,24,automobile,15.992221439377195,0.025163894519209862
2,24,25,bird,20.15300438366292,0.009653828106820583
2,32,32,horse,17.50746396351776,0.017752258107066154
2,32,33,frog,7.632898051883192,0.1724686622619629
4,0,0,airplane,16.83348957372696,0.020732469856739044
4,0,1,frog,7.970978476530449,0.1595519632101059
4,0,2,airplane,15.823272281899284,0.02616211026906967
4,0,3,bird,12.453742336011382,0.05683629587292671
4,8,8,deer,14.272806539821275,0.03738689050078392
4,8,9,automobile,15.864439698934865,0.02591528743505478
4,8,10,dog,16.746383714664827,0.021152496337890625
4,8,11,frog,9.460743391736466,0.11322065442800522
4,16,16,dog,11.607264945405923,0.06906746327877045
4,16,17,dog,11.071355486885237,0.07813838869333267
4,16,18,ship,12.565569488160808,0.05539149045944214
4,16,19,automobile,15.165565892593165,0.030439913272857666
4,24,24,automobile,11.228211117020043,0.07536659389734268
4,24,25,bird,13.935426104182977,0.04040707275271416
4,24,26,ship,16.620481930214932,0.02177468128502369
4,24,27,truck,12.456846183313171,0.05679569020867348
4,32,32,horse,14.990049958371259,0.03169531002640724
4,32,33,frog,7.506788788033445,0.17755018174648285
4,32,34,ship,12.876090636109883,0.05156926438212395
4,32,35,ship,12.633279041342348,0.05453459545969963
8,0,0,airplane,15.522677012686652,0.028037048876285553
8,0,1,frog,7.582301501352769,0.17448972165584564
8,0,2,airplane,12.865154676494688,0.051699284464120865
8,0,3,bird,9.60851713426454,0.10943299531936646
8,0,4,horse,14.214429628057683,0.03789282962679863
8,0,5,bird,9.285374410358852,0.11788608878850937
8,0,6,automobile,13.498619299366808,0.04468256235122681
8,0,7,bird,8.748854297227895,0.13338732719421387
8,8,8,deer,12.027215468225286,0.06270157545804977
8,8,9,automobile,10.318099575192557,0.09293729811906815
8,8,10,dog,14.393718618754558,0.03636035695672035
8,8,11,frog,10.02090032262874,0.09951990842819214
8,8,12,frog,8.863531591577875,0.12991127371788025
8,8,13,cat,11.097611484082368,0.07766741514205933
8,8,14,automobile,9.130150546636155,0.12217573076486588
8,8,15,cat,11.294476951687727,0.07422535866498947
8,16,16,dog,9.605589973639294,0.10950677841901779
8,16,17,dog,10.739594661089287,0.08434134721755981
8,16,18,ship,11.947240727425616,0.06386691331863403
8,16,19,automobile,13.447438776951694,0.04521225020289421
8,16,20,deer,12.830783869886845,0.05211006477475166
8,16,21,bird,8.696359670688627,0.13500940799713135
8,16,22,cat,11.370513685585781,0.07293712347745895
8,16,23,bird,8.731542726413885,0.1339200884103775
8,24,24,automobile,10.228326233167369,0.09487840533256531
8,24,25,bird,10.88079022788073,0.08164338022470474
8,24,26,ship,14.04126573822849,0.03943423554301262
8,24,27,truck,11.148094279077728,0.07676982879638672
8,24,28,dog,8.605848217418794,0.13785266876220703
8,24,29,airplane,14.010288589415815,0.03971651569008827
8,24,30,horse,10.73248801287383,0.08447947353124619
8,24,31,frog,10.12997575489474,0.09705153852701187
8,32,32,horse,10.327291086959082,0.09274081140756607
8,32,33,frog,7.6013463988877605,0.17372621595859528
8,32,34,ship,13.875214641399802,0.04097118601202965
8,32,35,ship,11.351775542043569,0.07325249910354614
8,32,36,horse,9.125584924917767,0.12230423837900162
8,32,37,deer,15.058245985172992,0.031201494857668877
8,32,38,truck,13.152164184363727,0.048393115401268005
8,32,39,automobile,11.13825486838358,0.07694395631551743
