algorithm,server_strategy,round,local_epochs,clients,learning_rate,batch_size,seed,train_loss,test_loss,test_accuracy
fedavg,fedavg,0,1,6,0.05,32,42,,2.9328789893229295,0.1000
fedavg,fedavg,1,1,6,0.05,32,42,2.389216981165247,2.3297805209068736,0.1000
fedavg,fedavg,2,1,6,0.05,32,42,1.9633196518463822,1.855323759613523,0.3251
fedavg,fedavg,3,1,6,0.05,32,42,1.7786056145575917,1.5660731055933959,0.4196
fedavg,fedavg,4,1,6,0.05,32,42,1.6532218771537175,1.4271255443050603,0.4743
fedavg,fedavg,5,1,6,0.05,32,42,1.546242157781137,1.3211346318008035,0.5151
fedavg,fedavg,10,1,6,0.05,32,42,1.1067268422024563,0.9486438962304669,0.6588
fedavg,fedavg,15,1,6,0.05,32,42,0.8333165239232581,0.7770308719319143,0.7288
fedavg,fedavg,18,1,6,0.05,32,42,0.7072599594672434,0.7183818760191559,0.7539
fedavg,fedavg,19,1,6,0.05,32,42,0.6756183107767066,0.7269669830039808,0.7497
fedavg,fedavg,20,1,6,0.05,32,42,0.6368533095328653,0.7117222862638486,0.7604
